"success","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","subjectID","study_id","session_id","exp_id","full_screen","focus_shifts","timeout","failed_images","failed_audio","failed_video","rt","stimulus","key_press","test_part","phase","correct_responses","correct_response","t1_type","t1_image","t2_image","t1_location","lag","t2_location","trial_number","correct","t1_correct","t2_correct","task","stim"
"true","fullscreen","0","14902","0.0-0.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","1","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","33497","0.0-1.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","51310","0.0-2.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","17605","<div class='instructions'><p>You will see a series of scene images rapidly appearing on the computer screen. One of the scene images will be ROTATED, either to the left or to the right.</p><p>When the series ends, you have to respond to the question ‘Which way was the scene rotated?’</p><p>If the scene was rotated left, you will press the 1 key. If the scene was rotated right, press the 0 key. </p><p>Press any key to see an example of the task.</p></div>"," ","instructions","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","54329","0.0-3.0-0.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","<div class=""rsvp"">+</div>","null","fixation","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","54594","0.0-3.0-1.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","<div class=""rsvp"" ></div>","null","blank","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","54815","0.0-3.0-2.0-0.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","
					<div style='width: 900px;'>
					<div style='float: center;'><img src=img/nontarget_distractor46.jpeg  ></img>
					</div>
					","null","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","54907","0.0-3.0-2.0-1.0","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","<span></span>","null","iti","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","55126","0.0-3.0-2.0-0.1","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","
					<div style='width: 900px;'>
					<div style='float: center;'><img src=img/nontarget_distractor126.jpeg  ></img>
					</div>
					","null","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","55224","0.0-3.0-2.0-1.1","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","<span></span>","null","iti","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","55454","0.0-3.0-2.0-0.2","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","
					<div style='width: 900px;'>
					<div style='float: center;'><img src=img/nontarget_distractor27.jpeg  ></img>
					</div>
					","null","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","55548","0.0-3.0-2.0-1.2","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","<span></span>","null","iti","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","55766","0.0-3.0-2.0-0.3","60fcd954f5ff1656599b53c9","60fcd954f5ff1656599b53c9","63a36e1df1afd18b014794e9","63a38e8fef0621c8004241bc","rsvp1-task","true","0","","","","","null","
					<div style='width: 900px;'>
					<div style='float: center;'><img src=img/nontarget_distractor133.jpeg  ></img>
					</div>
					","null","","","","","","","","","","","","","","","",""
